Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
144000,0.5484733,28.485294117647058,11.973979,27.485294117647058,27.485294117647058,1.0
146000,0.54999775,28.47761194029851,11.79046,27.55223880597015,27.55223880597015,1.0
148000,0.5748346,28.41176470588235,11.932849,27.205882352941178,27.205882352941178,1.0
150000,0.59233445,27.169014084507044,12.458214,26.267605633802816,26.267605633802816,1.0
152000,0.5435301,28.426470588235293,12.996158,27.455882352941178,27.455882352941178,1.0
154000,0.5559097,29.149253731343283,11.75446,28.044776119402986,28.044776119402986,1.0
156000,0.5340023,28.07246376811594,12.737809,27.144927536231883,27.144927536231883,1.0
158000,0.54555935,29.151515151515152,13.037782,28.0,28.0,1.0
160000,0.5345963,28.705882352941178,13.050369,27.720588235294116,27.720588235294116,1.0
162000,0.5095304,28.742424242424242,13.535431,27.984848484848484,27.984848484848484,1.0
164000,0.51411104,28.940298507462686,13.259606,27.91044776119403,27.91044776119403,1.0
166000,0.49715728,27.422535211267604,12.747405,26.197183098591548,26.197183098591548,1.0
168000,0.5134819,29.060606060606062,12.72825,28.303030303030305,28.303030303030305,1.0
170000,0.50990045,29.303030303030305,12.945146,28.303030303030305,28.303030303030305,1.0
172000,0.5043097,29.454545454545453,12.8921995,28.439393939393938,28.439393939393938,1.0
174000,0.49048358,28.544117647058822,13.115564,27.264705882352942,27.264705882352942,1.0
176000,0.46599206,26.041095890410958,13.355604,25.506849315068493,25.506849315068493,1.0
178000,0.49084258,29.333333333333332,13.889501,27.893939393939394,27.893939393939394,1.0
180000,0.4621692,30.59375,13.3686695,29.703125,29.703125,1.0
182000,0.49087209,28.96969696969697,12.526757,27.954545454545453,27.954545454545453,1.0
184000,0.47239006,30.841269841269842,12.932032,29.96825396825397,29.96825396825397,1.0
186000,0.46205088,29.753846153846155,13.661861,28.476923076923075,28.476923076923075,1.0
188000,0.42863068,27.542857142857144,14.053818,26.82857142857143,26.82857142857143,1.0
190000,0.45467988,30.06153846153846,13.06959,28.8,28.8,1.0
192000,0.47684106,28.582089552238806,12.740739,27.865671641791046,27.865671641791046,1.0
194000,0.49588543,28.82089552238806,13.348434,27.53731343283582,27.53731343283582,1.0
196000,0.488397,29.059701492537314,12.736558,28.238805970149254,28.238805970149254,1.0
198000,0.4760039,29.060606060606062,12.950667,28.060606060606062,28.060606060606062,1.0
200000,0.5144714,27.52857142857143,12.339564,26.642857142857142,26.642857142857142,1.0
202000,0.4844324,30.25,12.917553,28.953125,28.953125,1.0
204000,0.48466712,27.585714285714285,13.344049,26.685714285714287,26.685714285714287,1.0
206000,0.46205586,28.75,13.418266,27.63235294117647,27.63235294117647,1.0
208000,0.49287528,30.476190476190474,13.163486,29.61904761904762,29.61904761904762,1.0
210000,0.46498483,29.661538461538463,12.542941,28.8,28.8,1.0
212000,0.48924387,29.029850746268657,12.234086,27.880597014925375,27.880597014925375,1.0
214000,0.49238348,29.70769230769231,12.947452,28.753846153846155,28.753846153846155,1.0
216000,0.44243613,28.71641791044776,13.442503,27.80597014925373,27.80597014925373,1.0
218000,0.42563453,30.015384615384615,12.753357,28.76923076923077,28.76923076923077,1.0
220000,0.46218118,29.846153846153847,12.448384,28.93846153846154,28.93846153846154,1.0
222000,0.43427125,30.171875,12.796496,29.265625,29.265625,1.0
224000,0.45718363,30.03125,12.818616,28.953125,28.953125,1.0
226000,0.4236787,29.29850746268657,13.2115755,28.26865671641791,28.26865671641791,1.0
228000,0.4192886,30.396825396825395,12.9902315,29.365079365079364,29.365079365079364,1.0
230000,0.37227857,30.203125,13.566026,29.453125,29.453125,1.0
232000,0.43959588,30.184615384615384,12.711654,28.96923076923077,28.96923076923077,1.0
234000,0.4380492,29.859375,13.308716,29.171875,29.171875,1.0
236000,0.42364678,29.70769230769231,13.702922,28.353846153846153,28.353846153846153,1.0
238000,0.44871914,29.104477611940297,12.688361,28.238805970149254,28.238805970149254,1.0
240000,0.4651373,29.953125,13.024494,29.25,29.25,1.0
242000,0.42515603,29.83076923076923,13.444801,28.415384615384614,28.415384615384614,1.0
244000,0.42258734,30.634920634920636,13.619746,29.77777777777778,29.77777777777778,1.0
246000,0.42540327,29.37313432835821,12.712856,28.208955223880597,28.208955223880597,1.0
248000,0.40142873,32.06666666666667,14.196778,31.15,31.15,1.0
250000,0.4021394,30.171875,13.246,29.078125,29.078125,1.0
252000,0.40110007,29.348484848484848,13.252999,28.62121212121212,28.62121212121212,1.0
254000,0.38849312,30.50793650793651,12.828076,29.317460317460316,29.317460317460316,1.0
256000,0.35726064,29.134328358208954,13.769645,28.059701492537314,28.059701492537314,1.0
258000,0.38702753,31.048387096774192,12.930243,30.048387096774192,30.048387096774192,1.0
260000,0.33869925,31.868852459016395,14.0508175,31.081967213114755,31.081967213114755,1.0
262000,0.38122046,30.904761904761905,13.6336,29.761904761904763,29.761904761904763,1.0
264000,0.406121,30.0625,13.551498,29.046875,29.046875,1.0
266000,0.37545934,30.224137931034484,13.303998,28.907692307692308,28.907692307692308,1.0
268000,0.38258907,31.0,12.917106,29.857142857142858,29.857142857142858,1.0
270000,0.356297,31.096774193548388,13.320923,30.241935483870968,30.241935483870968,1.0
272000,0.37664342,31.557377049180328,13.346871,30.639344262295083,30.639344262295083,1.0
274000,0.37867394,30.107692307692307,13.506041,28.984615384615385,28.984615384615385,1.0
276000,0.37805864,30.857142857142858,12.960052,29.77777777777778,29.77777777777778,1.0
278000,0.3563422,30.109375,13.331148,29.125,29.125,1.0
280000,0.33960757,31.508196721311474,13.283251,30.688524590163933,30.688524590163933,1.0
282000,0.3568981,30.666666666666668,13.108324,29.523809523809526,29.523809523809526,1.0
284000,0.36708918,33.11864406779661,13.930068,32.13559322033898,32.13559322033898,1.0
286000,0.35005376,28.676470588235293,14.267444,27.63235294117647,27.63235294117647,1.0
288000,0.37287605,29.765625,13.185535,28.84375,28.84375,1.0
290000,0.342365,31.3015873015873,14.1002035,30.126984126984127,30.126984126984127,1.0
292000,0.33788472,29.29230769230769,14.129268,28.353846153846153,28.353846153846153,1.0
