Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
730000,1.3210469e-05,12.314171122994653,1.5917697,11.29560585885486,11.29560585885486,0.010642395,0.13739519,0.00013744032,1.0
740000,1.3212191e-05,12.18840579710145,1.5805433,11.159001314060447,11.159001314060447,0.009020172,0.14507966,0.0001328121,1.0
750000,1.3214713e-05,12.128777923784494,1.573957,11.135348226018397,11.135348226018397,0.010628323,0.13966215,0.00012766798,1.0
760000,1.32145615e-05,12.379679144385026,1.6247491,11.37433155080214,11.37433155080214,0.010740317,0.1345649,0.00012253269,1.0
770000,1.3213549e-05,12.465679676985195,1.631343,11.46164199192463,11.46164199192463,0.010214608,0.14068727,0.00011738737,1.0
780000,1.32149125e-05,12.124835742444153,1.573853,11.124835742444153,11.124835742444153,0.009465635,0.13086289,0.00011223768,1.0
790000,1.3212374e-05,12.258278145695364,1.6164695,11.263576158940397,11.263576158940397,0.009634981,0.139662,0.0001070946,1.0
800000,1.3211383e-05,12.138157894736842,1.5736312,11.157894736842104,11.157894736842104,0.008859195,0.14015761,0.000102464954,1.0
810000,1.3213046e-05,12.024707412223668,1.5690684,11.00260078023407,11.00260078023407,0.008378997,0.13290825,9.783509e-05,1.0
820000,1.3212256e-05,11.862290862290862,1.5176519,10.855855855855856,10.855855855855856,0.008589241,0.13210998,9.269459e-05,1.0
830000,1.3215107e-05,12.198150594451784,1.5962865,11.202113606340818,11.202113606340818,0.009730279,0.13535284,8.7560984e-05,1.0
840000,1.3213535e-05,12.56021650879567,1.6657939,11.554803788903925,11.554803788903925,0.008518277,0.13755567,8.2417086e-05,1.0
850000,1.3210475e-05,11.687420584498094,1.5058528,10.697585768742059,10.697585768742059,0.00933677,0.13782486,7.7273784e-05,1.0
860000,1.3214657e-05,12.007802340702211,1.5563437,11.00260078023407,11.00260078023407,0.008718873,0.14029244,7.213629e-05,1.0
870000,1.320969e-05,11.567295597484277,1.4880456,10.568553459119498,10.568553459119498,0.008967552,0.13433269,6.751034e-05,1.0
880000,1.3214991e-05,12.334666666666667,1.6341347,11.318242343541945,11.318242343541945,0.009325984,0.13364322,6.288139e-05,1.0
890000,1.3213737e-05,12.589673913043478,1.6754656,11.576662143826322,11.576662143826322,0.008847091,0.13579997,5.7732184e-05,1.0
900000,1.3211063e-05,12.36096256684492,1.656813,11.356951871657754,11.356951871657754,0.008008902,0.13356444,5.2580388e-05,1.0
910000,1.3212566e-05,11.771683673469388,1.5231223,10.770408163265307,10.770408163265307,0.008260505,0.1410576,4.7436588e-05,1.0
920000,1.3213822e-05,12.164690382081686,1.6014278,11.15,11.15,0.009090742,0.13410476,4.2295396e-05,1.0
930000,1.3212122e-05,12.241059602649006,1.6101078,11.23015873015873,11.23015873015873,0.008305728,0.14230867,3.71548e-05,1.0
940000,1.3212493e-05,12.284196547144754,1.6105355,11.26657824933687,11.26657824933687,0.008381451,0.13910052,3.252771e-05,1.0
950000,1.3214431e-05,12.095549738219896,1.5690057,11.094240837696335,11.094240837696335,0.0076987147,0.13388875,2.790899e-05,1.0
960000,1.3209733e-05,12.39142091152815,1.6205102,11.388739946380698,11.388739946380698,0.008603894,0.1357381,2.2772092e-05,1.0
970000,1.32121795e-05,12.133858267716535,1.5874178,11.13517060367454,11.13517060367454,0.008127312,0.14034107,1.7632396e-05,1.0
980000,1.3213059e-05,12.257294429708223,1.5869695,11.249006622516557,11.249006622516557,0.00730859,0.13779368,1.2499299e-05,1.0
990000,1.3213516e-05,11.815384615384616,1.5193596,10.815384615384616,10.815384615384616,0.007350971,0.13366304,7.3519977e-06,1.0
1000000,1.32126825e-05,12.297872340425531,1.6164168,11.276228419654714,11.276228419654714,0.007307778,0.13167828,2.211688e-06,1.0
